delta,N,majorant
0.1,229286.9297672968,65.02768556364039
0.1,235873.79639579772,64.92596915308118
0.1,242649.88799244576,64.8243079427276
0.1,249620.64053926192,64.72270243397568
0.1,256791.64618106594,64.62115312494376
0.1,264168.6577116606,64.51966051048691
0.1,271757.5931888934,64.4182250822116
0.1,279564.54068230034,64.31684732848998
0.1,287595.7631571333,64.21552773447421
0.1,295857.7034986988,64.11426678211089
0.1,304356.9896810307,64.01306495015524
0.1,313100.4400840508,63.91192271418531
0.1,322095.068963472,63.81084054661612
0.1,331348.0920778447,63.70981891671374
0.1,340866.932477252,63.60885829060932
0.1,350659.22645830334,63.50795913131311
0.1,360732.8296901948,63.40712189872834
0.1,371095.82351676276,63.306347049665106
0.1,381756.52143957757,63.20563503785418
0.1,392723.47578728065,63.10498631396081
0.1,404005.48457651987,63.00440132559837
0.1,415611.5985699751,62.90388051734205
0.1,427551.12853715225,62.8034243307425
0.1,439833.65272375743,62.703033204339356
0.1,452469.02453565394,62.60270757367463
0.1,465467.3804435517,62.502447871306344
0.1,478839.1481147889,62.402254526821814
0.1,492595.054778715,62.30212796685104
0.1,506746.1358323963,62.202068615079945
0.1,521303.7436935336,62.10207689226363
0.1,536279.5569077133,62.00215321623962
0.1,551685.5895172823,61.90229800194096
0.1,567534.2006993687,61.80251166140928
0.1,583838.1046807856,61.70279460380784
0.1,600610.3809377546,61.60314723543455
0.1,617864.4846886554,61.50356995973492
0.1,635614.257688198,61.40406317731487
0.1,653873.9393316967,61.30462728595356
0.1,672658.1780783267,61.205262680616336
0.1,691982.0432025596,61.10596975346725
0.1,711861.0368831793,61.00674889388186
0.1,732311.1066395977,60.9076004884599
0.1,753348.6581254185,60.80852492103774
0.1,774990.5682895468,60.7095225727011
0.1,797254.1989153769,60.61059382179735
0.1,820157.4105489296,60.511739043948104
0.1,843718.5768271191,60.41295861206148
0.1,867956.5992176214,60.31425289634461
0.1,892890.9221821985,60.21562226431577
0.1,918541.5487756215,60.1170670808167
0.1,944929.0566927216,60.018587708024846
0.1,972074.6147764181,59.92018450546543
0.1,1000000.0,59.82185783002361
0.25,3.0,15.496430256927075
0.25,3.0861828448117774,15.472567632341105
0.25,3.174841517203505,15.44827029075338
0.25,3.266047141796551,15.42354555454318
0.25,3.359872886453018,15.398400664402502
0.25,3.4563940209731774,15.372842780124234
0.25,3.5556879774791397,15.346878981383318
0.25,3.657834412533203,15.320516268510861
0.25,3.762915271040712,15.29376156326135
0.25,3.8710148519887015,15.266621709572995
0.25,3.982219876073044,15.239103474321203
0.25,4.0966195552683695,15.211213548065373
0.25,4.214305664396565,15.182958545788905
0.25,4.335372614751259,15.154345007632632
0.25,4.459917529837372,15.125379399621627
0.25,4.588040323286472,15.096068114385497
0.25,4.719843779010464,15.066417471872196
0.25,4.855433633657895,15.036433720055413
0.25,4.994918661439035,15.006123035635609
0.25,5.138410761387786,14.97549152473474
0.25,5.286025047130402,14.944545223584715
0.25,5.437879939233073,14.913290099209659
0.25,5.594097260202407,14.881732050102054
0.25,5.754802332215077,14.849876906892714
0.25,5.920124077654993,14.817730433014805
0.25,6.0901951225386615,14.785298325361808
0.25,6.265151902911725,14.752586214939576
0.25,6.4451347743020095,14.71959966751248
0.25,6.630288124316896,14.686344184243726
0.25,6.820760488475353,14.652825202329911
0.25,7.016704669367545,14.619048095629795
0.25,7.218277859237605,14.585018175287404
0.25,7.425641766087926,14.550740690349501
0.25,7.638962743406129,14.51622082837747
0.25,7.85841192361877,14.481463716053621
0.25,8.084165355378856,14.446474419782053
0.25,8.31640414479731,14.411257946284028
0.25,8.555314600731673,14.37581924318795
0.25,8.801088384248603,14.340163199614011
0.25,9.05392266238008,14.304294646753512
0.25,9.314020266296659,14.268218358442923
0.25,9.581589854024656,14.231939051732725
0.25,9.856846077837826,14.195461387451088
0.25,10.140009756457783,14.15878997076241
0.25,10.431308052201352,14.121929351720787
0.25,10.730974653216924,14.084884025818438
0.25,11.039249960956028,14.047658434529119
0.25,11.35638128303053,14.010256965846617
0.25,11.682623031610127,13.97268395481831
0.25,12.018236927519377,13.934943684073854
0.25,12.363492210197903,13.89704038434908
0.25,12.71866585369227,13.858978235005068
0.25,13.084042788852807,13.820761364542511
0.25,13.459916131913593,13.782393851111344
0.25,13.846587419639008,13.743879723015757
0.25,14.244366851225493,13.70522295921455
0.25,14.653573537152557,13.666427489816932
0.25,15.074535755182685,13.62749719657376
0.25,15.507591213715518,13.588435913364298
0.25,15.953087322707558,13.549247426678514
0.25,16.41138147237477,13.509935476094928
0.25,16.88284131990163,13.4705037547541
0.25,17.367845084386612,13.430955909827789
0.25,17.86678185026084,13.391295542983743
0.25,18.380051879423142,13.351526210846284
0.25,18.908066932342056,13.311651425452622
0.25,19.4512505983823,13.271674654704979
0.25,20.010038635620756,13.23159932281856
0.25,20.584879320424548,13.191428810765391
0.25,21.17623380707165,13.151166456714071
0.25,21.784576497702574,13.110815556465482
0.25,22.410395422899835,13.07037936388446
0.25,23.054192633200618,13.029861091327492
0.25,23.7164846018566,12.989263910066496
0.25,24.39780263916417,12.94859095070863
0.25,25.098693318697336,12.907845303612259
0.25,25.81971891578523,12.86703001929909
0.25,26.561457858586174,12.82614810886245
0.25,27.324505192119872,12.785202544371817
0.25,28.10947305563023,12.744196259273613
0.25,28.916991173661632,12.703132148788258
0.25,29.747707361242703,12.66201307030355
0.25,30.602288043582753,12.620841843764415
0.25,31.481418790697884,12.579621252059026
0.25,32.38580486739565,12.538354041401336
0.25,33.3161717990594,12.497042921710058
0.25,34.27326595368635,12.455690566984138
0.25,35.25785514064612,12.414299615674711
0.25,36.27072922664026,12.37287267105362
0.25,37.31270076935677,12.33141230157849
0.25,38.38460566932803,12.289921041254404
0.25,39.48730384051502,12.24840138999221
0.25,40.62167990015588,12.206855813963502
0.25,41.78864387843218,12.165286745952248
0.25,42.98913194852203,12.123696585703184
